Year,Month,Day,Hour,Count
2014,6,6,12,2
2014,6,6,14,1
2014,6,6,15,1
2014,6,6,16,2
2014,6,6,17,2
2014,6,7,12,1
2014,6,7,14,1
2014,6,7,15,1
2014,6,8,8,1
2014,6,8,9,4
2014,6,8,14,3
2014,6,8,15,1
2014,6,8,17,1
2014,6,9,9,1
2014,6,9,15,1
2014,6,9,16,1
2014,6,10,8,1
2014,6,10,10,1
2014,6,10,13,1
2014,6,10,14,2
2014,6,10,15,1
2014,6,11,9,3
2014,6,11,13,2
2014,6,11,15,1
2014,6,11,16,1
2014,6,11,17,2
2014,6,12,8,1
2014,6,12,9,1
2014,6,12,10,1
2014,6,12,13,1
2014,6,12,14,1
2014,6,12,15,1
2014,6,12,18,1
2014,6,13,9,4
2014,6,13,12,1
2014,6,13,15,1
2014,6,14,14,1
2014,6,14,15,1
2014,6,14,16,1
2014,6,15,7,2
2014,6,15,8,1
2014,6,15,9,1
2014,6,15,10,2
2014,6,15,14,1
2014,6,16,10,2
2014,6,16,11,2
2014,6,17,9,1
2014,6,17,11,2
2014,6,17,13,1
2014,6,17,16,2
2014,6,18,9,5
2014,6,18,10,1
2014,6,18,17,1
2014,6,19,10,1
2014,6,20,9,1
2014,6,20,14,2
2014,6,20,15,1
2014,6,20,16,2
2014,6,21,8,1
2014,6,21,10,2
2014,6,21,13,1
2014,6,21,14,2
2014,6,21,15,3
2014,6,21,16,1
2014,6,22,8,1
2014,6,22,9,2
2014,6,22,10,1
2014,6,22,11,1
2014,6,22,14,2
2014,6,22,15,2
2014,6,22,16,2
2014,6,23,9,1
2014,6,23,10,1
2014,6,23,11,1
2014,6,23,14,1
2014,6,23,15,1
2014,6,23,16,1
2014,6,25,13,1
2014,6,25,14,1
2014,6,25,15,1
2014,6,25,17,2
2014,6,26,10,1
2014,6,26,11,1
2014,6,26,13,1
2014,6,26,17,1
2014,6,27,8,1
2014,6,27,9,2
2014,6,27,15,1
2014,6,28,10,1
2014,6,28,13,1
2014,6,28,14,1
2014,6,28,15,4
2014,6,28,16,1
2014,6,29,9,1
2014,6,29,10,4
2014,6,29,11,1
2014,6,29,12,1
2014,6,29,14,1
2014,6,29,15,1
2014,6,29,16,1
2014,6,29,17,2
2014,6,30,10,2
2014,6,30,13,3
2014,6,30,16,1
2014,7,1,10,1
2014,7,1,11,1
2014,7,1,14,2
2014,7,1,15,2
2014,7,1,22,1
2014,7,2,9,2
2014,7,2,16,1
2014,7,3,9,1
2014,7,3,15,1
2014,7,3,16,1
2014,7,3,17,1
2014,7,4,8,1
2014,7,4,9,1
2014,7,4,11,1
2014,7,4,13,1
2014,7,4,16,1
2014,7,5,9,1
2014,7,6,8,1
2014,7,6,9,4
2014,7,6,10,3
2014,7,6,12,3
2014,7,6,13,1
2014,7,6,14,1
2014,7,6,16,2
2014,7,6,17,1
2014,7,7,9,3
2014,7,7,10,2
2014,7,7,12,4
2014,7,7,13,1
2014,7,8,9,1
2014,7,8,14,1
2014,7,8,16,1
2014,7,8,17,1
2014,7,9,9,2
2014,7,9,11,1
2014,7,9,12,1
2014,7,9,13,2
2014,7,9,14,2
2014,7,9,15,1
2014,7,9,17,1
2014,7,10,9,1
2014,7,10,10,2
2014,7,10,11,2
2014,7,10,12,1
2014,7,10,14,1
2014,7,11,9,2
2014,7,11,10,3
2014,7,11,13,1
2014,7,11,15,1
2014,7,11,17,2
2014,7,12,7,1
2014,7,12,10,1
2014,7,12,13,1
2014,7,12,15,1
2014,7,12,16,1
2014,7,13,9,5
2014,7,13,10,1
2014,7,13,11,1
2014,7,13,12,2
2014,7,13,13,5
2014,7,13,14,3
2014,7,13,15,6
2014,7,13,16,1
2014,7,14,9,1
2014,7,14,10,1
2014,7,14,12,1
2014,7,14,13,1
2014,7,14,16,1
2014,7,15,9,2
2014,7,15,10,2
2014,7,15,11,1
2014,7,15,12,2
2014,7,15,13,2
2014,7,15,16,1
2014,7,15,17,1
2014,7,15,18,1
2014,7,16,9,3
2014,7,16,11,2
2014,7,16,13,1
2014,7,16,14,1
2014,7,16,15,1
2014,7,16,16,3
2014,7,17,10,2
2014,7,17,12,1
2014,7,17,13,1
2014,7,17,14,2
2014,7,17,16,6
2014,7,17,17,1
2014,7,18,9,3
2014,7,18,10,2
2014,7,18,12,1
2014,7,18,17,1
2014,7,19,10,1
2014,7,19,13,2
2014,7,19,15,2
2014,7,20,9,2
2014,7,20,11,4
2014,7,20,12,1
2014,7,20,14,2
2014,7,20,15,2
2014,7,20,17,1
2014,7,21,16,1
2014,7,21,18,1
2014,7,22,16,1
2014,7,23,8,2
2014,7,23,12,1
2014,7,23,15,2
2014,7,23,17,3
2014,7,24,9,1
2014,7,24,11,1
2014,7,24,12,1
2014,7,24,16,3
2014,7,24,17,2
2014,7,25,11,2
2014,7,25,12,2
2014,7,25,14,2
2014,7,25,15,3
2014,7,26,9,2
2014,7,26,10,1
2014,7,26,11,1
2014,7,26,14,1
2014,7,26,15,1
2014,7,26,17,1
2014,7,26,18,1
2014,7,27,9,2
2014,7,27,10,1
2014,7,27,14,1
2014,7,27,15,1
2014,7,27,16,3
2014,7,28,9,2
2014,7,28,10,1
2014,7,28,15,1
2014,7,29,11,2
2014,7,30,9,4
2014,7,30,15,8
